model,domain,horizon_s,target,MAE,RMSE,WAPE,R2,seed
ca_dtnet,cicv5g,30,vehicle_count,1.5850736839858133,3.020207285190581,0.35545841135495754,0.743742903790489,52
ca_dtnet,cicv5g,30,flow_proxy,13408.916652720322,23702.891497461354,0.42130019058236023,0.7461306624220856,52
ca_dtnet,see_v2x,5,speed_mean_kmh,3.663907421297503,7.740775029809469,0.4640960043843867,0.48210571570947924,52
ca_dtnet,see_v2x,5,vehicle_count,0.977502629938525,1.801542979950219,0.21683850434375812,0.9146713022885503,52
ca_dtnet,see_v2x,5,flow_proxy,12810.262951767321,23073.74526499186,0.3993437325620226,0.7570963943361172,52
ca_dtnet,see_v2x,10,speed_mean_kmh,4.132649580076575,8.096594602412413,0.5156592321873892,0.43718392238877823,52
ca_dtnet,see_v2x,10,vehicle_count,1.2877888608806602,2.351067583271259,0.28374475152107065,0.8522073120317447,52
ca_dtnet,see_v2x,10,flow_proxy,15544.794004860429,28098.61921648454,0.4748289028314151,0.6513936792377208,52
ca_dtnet,see_v2x,30,speed_mean_kmh,4.17957597846548,8.089344752789748,0.5313347653750699,0.4305845160138304,52
ca_dtnet,see_v2x,30,vehicle_count,1.5820086794371577,3.026145260154251,0.35477107318344664,0.7427342683424796,52
ca_dtnet,see_v2x,30,flow_proxy,13428.17500029324,23671.892390271332,0.4219052764153851,0.7467942588208311,52
dcrnn,clean,5,speed_mean_kmh,3.959231705959151,7.385156013099257,0.5015038328989542,0.5285978324328864,62
dcrnn,clean,5,vehicle_count,1.141850463809391,1.9212172786139694,0.2532956323321874,0.9029582030668526,62
dcrnn,clean,5,flow_proxy,14447.551191517401,23307.043220571013,0.45038412099148073,0.7521595795442927,62
dcrnn,clean,10,speed_mean_kmh,4.243965026851804,7.645998695252922,0.5295488293338394,0.4980850346392217,62
dcrnn,clean,10,vehicle_count,1.447455242969109,2.4040338603265368,0.31892481813616275,0.84547317490917,62
dcrnn,clean,10,flow_proxy,17146.55917480105,27609.818232889,0.5237561770042779,0.6634168315191109,62
dcrnn,clean,30,speed_mean_kmh,4.389972057845937,7.7011058100062755,0.5580816775138685,0.48392982086795955,62
dcrnn,clean,30,vehicle_count,1.6454166297201336,2.8322028747589725,0.3689905315610437,0.7746533441465627,62
dcrnn,clean,30,flow_proxy,15591.19262831932,25393.392240136654,0.4898660045280114,0.7086271815152241,62
dcrnn,cicv5g,5,speed_mean_kmh,3.959231705959151,7.385156013099257,0.5015038328989542,0.5285978324328864,62
dcrnn,cicv5g,5,vehicle_count,1.141850463809391,1.9212172786139694,0.2532956323321874,0.9029582030668526,62
dcrnn,cicv5g,5,flow_proxy,14447.551191517401,23307.043220571013,0.45038412099148073,0.7521595795442927,62
dcrnn,cicv5g,10,speed_mean_kmh,4.243965026851804,7.645998695252922,0.5295488293338394,0.4980850346392217,62
dcrnn,cicv5g,10,vehicle_count,1.447455242969109,2.4040338603265368,0.31892481813616275,0.84547317490917,62
dcrnn,cicv5g,10,flow_proxy,17146.55917480105,27609.818232889,0.5237561770042779,0.6634168315191109,62
dcrnn,cicv5g,30,speed_mean_kmh,4.389972057845937,7.7011058100062755,0.5580816775138685,0.48392982086795955,62
dcrnn,cicv5g,30,vehicle_count,1.6454166297201336,2.8322028747589725,0.3689905315610437,0.7746533441465627,62
dcrnn,cicv5g,30,flow_proxy,15591.19262831932,25393.392240136654,0.4898660045280114,0.7086271815152241,62
dcrnn,see_v2x,5,speed_mean_kmh,3.9607999842096917,7.385323126202838,0.5017024819329358,0.528576498186077,62
dcrnn,see_v2x,5,vehicle_count,1.1412524980192507,1.9223486944815984,0.2531629861339967,0.9028438724708923,62
dcrnn,see_v2x,5,flow_proxy,14416.96539106069,23276.113416824162,0.4494306473771007,0.7528169404207492,62
