model,domain,horizon_s,target,sample_index,absolute_error,seed
dcrnn,clean,10,vehicle_count,58,1.5671904108190513,42
dcrnn,clean,10,vehicle_count,59,1.5375991469512558,42
dcrnn,clean,10,vehicle_count,60,1.478789698677733,42
dcrnn,clean,10,vehicle_count,61,1.524066729142725,42
dcrnn,clean,10,vehicle_count,62,1.5651596399265468,42
dcrnn,clean,10,vehicle_count,63,1.6670484940504933,42
dcrnn,clean,10,vehicle_count,64,1.5887621007177157,42
dcrnn,clean,10,vehicle_count,65,1.5773896636540123,42
dcrnn,clean,10,vehicle_count,66,1.7414732638527635,42
dcrnn,clean,10,vehicle_count,67,1.6035610069379338,42
dcrnn,clean,10,vehicle_count,68,1.698095358838139,42
dcrnn,clean,10,vehicle_count,69,1.605588096101911,42
dcrnn,clean,10,vehicle_count,70,1.5418326807618465,42
dcrnn,clean,10,vehicle_count,71,1.5441356085469586,42
dcrnn,clean,10,vehicle_count,72,1.4728966785487323,42
dcrnn,clean,10,vehicle_count,73,1.4100755388176074,42
dcrnn,clean,10,flow_proxy,0,8915.970931819676,42
dcrnn,clean,10,flow_proxy,1,10297.8110833796,42
dcrnn,clean,10,flow_proxy,2,9892.24219785028,42
dcrnn,clean,10,flow_proxy,3,10863.529153866955,42
dcrnn,clean,10,flow_proxy,4,10128.02755919966,42
dcrnn,clean,10,flow_proxy,5,11564.914776522253,42
dcrnn,clean,10,flow_proxy,6,11908.844486550883,42
dcrnn,clean,10,flow_proxy,7,10970.246852830418,42
dcrnn,clean,10,flow_proxy,8,11381.117895059666,42
dcrnn,clean,10,flow_proxy,9,12312.978399674119,42
dcrnn,clean,10,flow_proxy,10,10378.484844786715,42
dcrnn,clean,10,flow_proxy,11,9710.715507681356,42
dcrnn,clean,10,flow_proxy,12,10956.849427173143,42
dcrnn,clean,10,flow_proxy,13,12267.759130250854,42
dcrnn,clean,10,flow_proxy,14,14629.229897100766,42
dcrnn,clean,10,flow_proxy,15,16823.095734000908,42
dcrnn,clean,10,flow_proxy,16,16978.579214429905,42
dcrnn,clean,10,flow_proxy,17,18948.44424747065,42
dcrnn,clean,10,flow_proxy,18,16721.55019234768,42
dcrnn,clean,10,flow_proxy,19,16376.254158745596,42
dcrnn,clean,10,flow_proxy,20,19406.704290734502,42
dcrnn,clean,10,flow_proxy,21,19219.713065976557,42
dcrnn,clean,10,flow_proxy,22,16169.856447301889,42
dcrnn,clean,10,flow_proxy,23,14679.936024802419,42
dcrnn,clean,10,flow_proxy,24,15712.642447804614,42
dcrnn,clean,10,flow_proxy,25,13798.313889140985,42
dcrnn,clean,10,flow_proxy,26,15298.954209244137,42
dcrnn,clean,10,flow_proxy,27,16045.065685097785,42
dcrnn,clean,10,flow_proxy,28,14282.212833695396,42
dcrnn,clean,10,flow_proxy,29,12804.690880652453,42
dcrnn,clean,10,flow_proxy,30,14518.561425840633,42
dcrnn,clean,10,flow_proxy,31,13116.618428722855,42
dcrnn,clean,10,flow_proxy,32,12616.315900963962,42
dcrnn,clean,10,flow_proxy,33,13505.382405975239,42
dcrnn,clean,10,flow_proxy,34,15005.318337037694,42
dcrnn,clean,10,flow_proxy,35,17052.11697634034,42
dcrnn,clean,10,flow_proxy,36,20572.86304875703,42
dcrnn,clean,10,flow_proxy,37,18776.79086309369,42
dcrnn,clean,10,flow_proxy,38,20187.70561055434,42
dcrnn,clean,10,flow_proxy,39,17556.91663768647,42
dcrnn,clean,10,flow_proxy,40,16849.50055109075,42
dcrnn,clean,10,flow_proxy,41,18685.192527141797,42
dcrnn,clean,10,flow_proxy,42,19683.732707343235,42
dcrnn,clean,10,flow_proxy,43,19789.033239583994,42
dcrnn,clean,10,flow_proxy,44,19274.143167002272,42
dcrnn,clean,10,flow_proxy,45,21280.839353419866,42
dcrnn,clean,10,flow_proxy,46,22094.51474907754,42
dcrnn,clean,10,flow_proxy,47,19857.780224695325,42
dcrnn,clean,10,flow_proxy,48,19672.612226253503,42
dcrnn,clean,10,flow_proxy,49,16436.87428382615,42
dcrnn,clean,10,flow_proxy,50,15595.981339489648,42
dcrnn,clean,10,flow_proxy,51,13991.957687116803,42
dcrnn,clean,10,flow_proxy,52,15089.278429345917,42
dcrnn,clean,10,flow_proxy,53,15784.393941688095,42
dcrnn,clean,10,flow_proxy,54,16313.792744746534,42
dcrnn,clean,10,flow_proxy,55,15996.575365384993,42
dcrnn,clean,10,flow_proxy,56,13943.15582139408,42
dcrnn,clean,10,flow_proxy,57,16410.55549220844,42
dcrnn,clean,10,flow_proxy,58,13167.646313968675,42
dcrnn,clean,10,flow_proxy,59,13023.397123229355,42
dcrnn,clean,10,flow_proxy,60,14060.44872436219,42
dcrnn,clean,10,flow_proxy,61,14363.190088341118,42
dcrnn,clean,10,flow_proxy,62,15055.108506153121,42
dcrnn,clean,10,flow_proxy,63,15946.672127444186,42
dcrnn,clean,10,flow_proxy,64,17725.081492003985,42
dcrnn,clean,10,flow_proxy,65,17462.563931161116,42
dcrnn,clean,10,flow_proxy,66,19268.06399099966,42
dcrnn,clean,10,flow_proxy,67,18483.889975394897,42
