model,domain,horizon_s,target,seed_count,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,R2_mean,R2_std,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
graph_wavenet,cicv5g,5,flow_proxy,3,13281.940261485179,442.93266572211394,22694.303430670523,717.3401257712981,0.4140476756533356,0.01380786519910684,0.7648631659522914,0.014964186591242889,13281.940261 ± 442.932666,22694.303431 ± 717.340126,0.414048 ± 0.013808,0.764863 ± 0.014964
graph_wavenet,cicv5g,5,speed_mean_kmh,3,3.856707930011814,0.08387591520708193,7.682241256402321,0.23382630313687722,0.4885174581627963,0.010624306958581749,0.4895934309699091,0.03077911704312993,3.856708 ± 0.083876,7.682241 ± 0.233826,0.488517 ± 0.010624,0.489593 ± 0.030779
graph_wavenet,cicv5g,5,vehicle_count,3,1.0204849114037642,0.02172018388640862,1.7807967425031794,0.06623623641158202,0.22637322408849278,0.004818168303338907,0.9165483492888483,0.0061388783741332924,1.020485 ± 0.021720,1.780797 ± 0.066236,0.226373 ± 0.004818,0.916548 ± 0.006139
graph_wavenet,cicv5g,10,flow_proxy,3,16057.317741340323,573.0389320377362,27810.670163635456,979.0211898921685,0.49048437458560584,0.01750395967254936,0.6582198299579205,0.02421534532835867,16057.317741 ± 573.038932,27810.670164 ± 979.021190,0.490484 ± 0.017504,0.658220 ± 0.024215
graph_wavenet,cicv5g,10,speed_mean_kmh,3,4.382202720272665,0.21300369060924057,8.160414451695162,0.37154580306598073,0.5467977011453798,0.02657794168713566,0.42748625144112945,0.05138819747555622,4.382203 ± 0.213004,8.160414 ± 0.371546,0.546798 ± 0.026578,0.427486 ± 0.051388
graph_wavenet,cicv5g,10,vehicle_count,3,1.3111501377980088,0.017851553375200637,2.291315051365589,0.09383305148551994,0.288892054712989,0.003933319141499217,0.8594672266392697,0.011369031157514146,1.311150 ± 0.017852,2.291315 ± 0.093833,0.288892 ± 0.003933,0.859467 ± 0.011369
graph_wavenet,cicv5g,30,flow_proxy,3,15438.972232643357,164.95515611270807,26347.427696423085,351.69166628800446,0.48508333018005834,0.005182792950967265,0.6862847580198655,0.008341827890446992,15438.972233 ± 164.955156,26347.427696 ± 351.691666,0.485083 ± 0.005183,0.686285 ± 0.008342
graph_wavenet,cicv5g,30,speed_mean_kmh,3,4.612694779832352,0.1399946940493473,8.094038595157594,0.14388315484434888,0.5863956322882465,0.017797032115151233,0.42980342087502893,0.020342841724355434,4.612695 ± 0.139995,8.094039 ± 0.143883,0.586396 ± 0.017797,0.429803 ± 0.020343
graph_wavenet,cicv5g,30,vehicle_count,3,1.6043750535756889,0.060802562857433795,2.8117548163965864,0.13157947986451263,0.35978681213575897,0.013635190980690598,0.7775712767849843,0.020579886244201144,1.604375 ± 0.060803,2.811755 ± 0.131579,0.359787 ± 0.013635,0.777571 ± 0.020580
graph_wavenet,clean,5,flow_proxy,3,13281.940261485179,442.93266572211394,22694.303430670523,717.3401257712981,0.4140476756533356,0.01380786519910684,0.7648631659522914,0.014964186591242889,13281.940261 ± 442.932666,22694.303431 ± 717.340126,0.414048 ± 0.013808,0.764863 ± 0.014964
