domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_p95_ms,graph_gru,10,flow_proxy,Q3-high,12,14052.94399969939,17718.00602368961,20.685521943540554
cicv5g,latency_p95_ms,graph_gru,10,flow_proxy,Q4-severe,18,13461.36420348317,12750.681321846749,-5.5736855443026005
cicv5g,latency_p95_ms,graph_gru,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,4.871134590626486,11.631518086110779
cicv5g,latency_p95_ms,graph_gru,10,speed_mean_kmh,Q2-moderate,25,4.907701419330754,4.993148490451829,1.711286398018055
cicv5g,latency_p95_ms,graph_gru,10,speed_mean_kmh,Q3-high,12,3.4631010470195154,4.156839472465912,16.689083818912795
cicv5g,latency_p95_ms,graph_gru,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,3.544636741906668,0.1812428284331858
cicv5g,latency_p95_ms,graph_gru,10,vehicle_count,Q1-mild,19,1.371064820582939,1.5379417473858414,10.85066622331369
cicv5g,latency_p95_ms,graph_gru,10,vehicle_count,Q2-moderate,25,1.513679837044704,1.4730700386770819,-2.7568137987798016
cicv5g,latency_p95_ms,graph_gru,10,vehicle_count,Q3-high,12,0.9055347370098522,1.1114535541364627,18.526983382036114
cicv5g,latency_p95_ms,graph_gru,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.1439933848119332,6.132593767133845
cicv5g,latency_p95_ms,graph_gru,30,flow_proxy,Q1-mild,19,14825.536062410003,15843.004588567803,6.422194227547945
cicv5g,latency_p95_ms,graph_gru,30,flow_proxy,Q2-moderate,25,15041.240650563142,17197.452285579315,12.53797131812937
cicv5g,latency_p95_ms,graph_gru,30,flow_proxy,Q3-high,12,15653.37584022248,14564.990185528106,-7.472615091598586
cicv5g,latency_p95_ms,graph_gru,30,flow_proxy,Q4-severe,18,13867.483742588922,15124.70784915353,8.31238605798352
cicv5g,latency_p95_ms,graph_gru,30,speed_mean_kmh,Q1-mild,19,3.6517836831555086,4.131304464041494,11.607006549601731
cicv5g,latency_p95_ms,graph_gru,30,speed_mean_kmh,Q2-moderate,25,4.5046451624339765,4.7433844778713965,5.033100648869279
cicv5g,latency_p95_ms,graph_gru,30,speed_mean_kmh,Q3-high,12,4.812574889508067,4.82649332793237,0.2883757927295917
cicv5g,latency_p95_ms,graph_gru,30,speed_mean_kmh,Q4-severe,18,4.054581132889005,4.4837645223193,9.571943092388313
cicv5g,latency_p95_ms,graph_gru,30,vehicle_count,Q1-mild,19,1.9167902655808295,1.797326300138525,-6.646759954963172
cicv5g,latency_p95_ms,graph_gru,30,vehicle_count,Q2-moderate,25,1.9033245942561559,1.8273277274671336,-4.158907306598534
cicv5g,latency_p95_ms,graph_gru,30,vehicle_count,Q3-high,12,1.2304254355601714,1.303630837140727,5.615500871363865
cicv5g,latency_p95_ms,graph_gru,30,vehicle_count,Q4-severe,18,1.0330398200175293,1.244941356437102,17.02100533666206
cicv5g,latency_p95_ms,persistence,5,flow_proxy,Q1-mild,19,13021.156498031565,15676.616237423756,16.938985423724873
cicv5g,latency_p95_ms,persistence,5,flow_proxy,Q2-moderate,25,14904.04287092613,17638.020317322935,15.500477928977757
cicv5g,latency_p95_ms,persistence,5,flow_proxy,Q3-high,12,13727.37213383663,16900.963668969347,18.777577404995217
cicv5g,latency_p95_ms,persistence,5,flow_proxy,Q4-severe,18,10360.746784320228,13743.569611005683,24.613858862213423
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.234218909753405,14.800947173149648
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,Q2-moderate,25,4.515037117514984,5.495772265151461,17.845265388283373
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,Q3-high,12,3.615452466630027,4.304315116561727,16.004001326035848
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,3.62668619618692,18.742532272079146
cicv5g,latency_p95_ms,persistence,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.1622088506597705,11.032168240464895
cicv5g,latency_p95_ms,persistence,5,vehicle_count,Q2-moderate,25,1.1058941644229034,1.1186885690865527,1.1436967269386353
cicv5g,latency_p95_ms,persistence,5,vehicle_count,Q3-high,12,0.8922580984277902,1.015027351298026,12.095166844885567
cicv5g,latency_p95_ms,persistence,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.8888889074933206,14.792632887188716
cicv5g,latency_p95_ms,persistence,10,flow_proxy,Q1-mild,19,16438.278830532374,21069.35965136427,21.98016882079199
cicv5g,latency_p95_ms,persistence,10,flow_proxy,Q2-moderate,25,17993.892788283658,22700.339566469913,20.73293557747459
cicv5g,latency_p95_ms,persistence,10,flow_proxy,Q3-high,12,14052.94399969939,20793.059531873547,32.4152177886041
cicv5g,latency_p95_ms,persistence,10,flow_proxy,Q4-severe,18,13461.36420348317,17623.902952400593,23.618711247772
