domain,communication_metric,model,horizon_s,target,samples,severity_error_rho,p_value
see_v2x,latency_p95_ms,ca_dtnet,10,flow_proxy,74,-0.05729359946692715,0.6277713942261685
see_v2x,latency_p95_ms,ca_dtnet,10,speed_mean_kmh,74,0.08436301699642618,0.47483248987643234
see_v2x,latency_p95_ms,ca_dtnet,10,vehicle_count,74,0.07871521925149942,0.5050011988982042
see_v2x,latency_p95_ms,ca_dtnet,30,flow_proxy,74,0.2356070394409494,0.043299648381383886
see_v2x,latency_p95_ms,ca_dtnet,30,speed_mean_kmh,74,0.04104271549242404,0.7284423110601401
see_v2x,latency_p95_ms,ca_dtnet,30,vehicle_count,74,0.25592064440907825,0.027748475553199384
see_v2x,latency_p95_ms,graph_gru,5,flow_proxy,74,0.33295845234123983,0.0037477157691854124
see_v2x,latency_p95_ms,graph_gru,5,speed_mean_kmh,74,0.2934084790320797,0.011176486610365848
see_v2x,latency_p95_ms,graph_gru,5,vehicle_count,74,0.10339932710671058,0.380657934884988
see_v2x,latency_p95_ms,graph_gru,10,flow_proxy,74,0.14738135968164418,0.21017149952218342
see_v2x,latency_p95_ms,graph_gru,10,speed_mean_kmh,74,0.24510211085408234,0.03531110121166338
see_v2x,latency_p95_ms,graph_gru,10,vehicle_count,74,0.1996735033799032,0.08807585862064907
see_v2x,latency_p95_ms,graph_gru,30,flow_proxy,74,0.14802770165790285,0.20815651976307029
see_v2x,latency_p95_ms,graph_gru,30,speed_mean_kmh,74,-0.07854593921009836,0.5059204463289558
see_v2x,latency_p95_ms,graph_gru,30,vehicle_count,74,0.22760471021108045,0.05114318505186443
see_v2x,latency_p95_ms,historical_average,5,flow_proxy,74,0.30224181937428124,0.00886451062115662
see_v2x,latency_p95_ms,historical_average,5,speed_mean_kmh,74,0.015589152903571636,0.895120434502752
see_v2x,latency_p95_ms,historical_average,5,vehicle_count,74,-0.039457638741123076,0.7385464711426204
see_v2x,latency_p95_ms,historical_average,10,flow_proxy,74,0.08759472687771941,0.45801579839945905
see_v2x,latency_p95_ms,historical_average,10,speed_mean_kmh,74,0.04669051323735079,0.6928247210713423
see_v2x,latency_p95_ms,historical_average,10,vehicle_count,74,-0.04285862866381738,0.7169232832710803
see_v2x,latency_p95_ms,historical_average,30,flow_proxy,74,0.14070249259363818,0.23180524825158969
see_v2x,latency_p95_ms,historical_average,30,speed_mean_kmh,74,-0.09995216989999782,0.3968237291653669
see_v2x,latency_p95_ms,historical_average,30,vehicle_count,74,0.22588113160772408,0.05297656052717138
see_v2x,latency_p95_ms,impaired_gru,5,flow_proxy,74,0.36242856863969947,0.0015072658258473619
