domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,historical_average,10,speed_mean_kmh,Q1-mild,19,171.60300600140215,5.952751748782563,5.663531276752583,6.253028042600265,9.321215938246706,8.6810853283938,10.10506340261027
cicv5g,latency_mean_ms,historical_average,10,speed_mean_kmh,Q2-moderate,18,194.70449187218318,5.314193977880161,4.879451328079912,5.838879069287453,8.797877455722775,7.814488399591399,9.953417617622296
cicv5g,latency_mean_ms,historical_average,10,speed_mean_kmh,Q3-high,19,289.82927430382347,5.724754764245128,5.336218389933031,6.1749551233526665,8.702413550351634,7.986264502152316,9.607151502549979
cicv5g,latency_mean_ms,historical_average,10,speed_mean_kmh,Q4-severe,18,408.3732159313111,5.2610644208754955,5.147446043917993,5.369199008353003,8.021243720227622,7.705325773478902,8.3643965918215
cicv5g,latency_mean_ms,historical_average,10,vehicle_count,Q1-mild,19,171.60300600140215,2.2416120737435037,2.193810131044116,2.2849849492293632,3.784213786399341,3.7093255066469175,3.85551414955866
cicv5g,latency_mean_ms,historical_average,10,vehicle_count,Q2-moderate,18,194.70449187218318,2.1508911733421403,2.1039496080957836,2.1983510787900316,3.8641333671548628,3.685001477497647,4.045031324023711
cicv5g,latency_mean_ms,historical_average,10,vehicle_count,Q3-high,19,289.82927430382347,1.6620683118187212,1.4094475084065798,1.9326967078961823,3.116658463422103,2.570485496304466,3.663042866910247
cicv5g,latency_mean_ms,historical_average,10,vehicle_count,Q4-severe,18,408.3732159313111,1.3683858679146712,1.3235422583388032,1.4116993656786074,2.3441549457217734,2.2602942849056893,2.426151220223066
cicv5g,latency_mean_ms,historical_average,30,flow_proxy,Q1-mild,19,171.60300600140215,18083.658396055525,17560.684521811465,18622.865191516466,29803.751895012923,28846.610241620383,30861.741477385505
cicv5g,latency_mean_ms,historical_average,30,flow_proxy,Q2-moderate,18,194.70449187218318,18876.755207309718,18113.469047021743,19644.337221611153,31024.35966245561,29929.65158084492,32054.559667830785
cicv5g,latency_mean_ms,historical_average,30,flow_proxy,Q3-high,19,289.82927430382347,21073.33923914212,20328.337753363827,21763.16378441543,33665.75698211762,32626.06598422614,34689.41357533283
cicv5g,latency_mean_ms,historical_average,30,flow_proxy,Q4-severe,18,408.3732159313111,19361.430723180572,18576.162257453805,20108.328150454454,31691.934634274032,30602.160690146564,32826.43316233522
cicv5g,latency_mean_ms,historical_average,30,speed_mean_kmh,Q1-mild,19,171.60300600140215,5.476322678003817,5.22779561548365,5.7688419209564925,8.069664788419386,7.684248507814656,8.50158472468332
cicv5g,latency_mean_ms,historical_average,30,speed_mean_kmh,Q2-moderate,18,194.70449187218318,5.847567027961683,5.6197559326606745,6.15200434845769,9.05479569750437,8.405917286935514,9.820294046554395
cicv5g,latency_mean_ms,historical_average,30,speed_mean_kmh,Q3-high,19,289.82927430382347,5.837221831816523,5.521124425096877,6.158367264220073,9.331846722398986,8.591392558793968,10.176012796428573
cicv5g,latency_mean_ms,historical_average,30,speed_mean_kmh,Q4-severe,18,408.3732159313111,5.478728198276981,5.158158995543836,5.798338409652467,8.206179634152242,7.681539336543399,8.783654033860845
cicv5g,latency_mean_ms,historical_average,30,vehicle_count,Q1-mild,19,171.60300600140215,1.931529423052972,1.8765411174700295,1.9855266447458955,3.67901432370015,3.5887032987889436,3.764069777215346
cicv5g,latency_mean_ms,historical_average,30,vehicle_count,Q2-moderate,18,194.70449187218318,2.2190039802796635,2.152909158858985,2.276091911364246,3.7862705908359473,3.7019428463581026,3.8609044579321146
cicv5g,latency_mean_ms,historical_average,30,vehicle_count,Q3-high,19,289.82927430382347,1.8428670640273257,1.7527286110983433,1.9392574832219043,3.215989711288707,3.133334042496042,3.306191667961041
cicv5g,latency_mean_ms,historical_average,30,vehicle_count,Q4-severe,18,408.3732159313111,1.3769604571498932,1.2810349380539197,1.4698209692829454,2.383544831814946,2.2481059421959606,2.5446942139076074
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q1-mild,19,171.60300600140215,14975.636196224237,14278.864453798022,15662.141378248789,24128.480577757306,23084.83456446553,25063.811514487752
