domain,communication_metric,model,horizon_s,target,mild_MAE,severe_MAE,relative_degradation_pct
see_v2x,aoi_mean_s,ca_dtnet,10,speed_mean_kmh,3.631561531747896,3.581211333932047,-1.3864613675695836
see_v2x,aoi_mean_s,ca_dtnet,10,vehicle_count,1.228588967194362,0.9588048258549536,-21.95886063991022
see_v2x,aoi_mean_s,ca_dtnet,30,flow_proxy,14376.514986775304,15060.067204454852,4.754644768275617
see_v2x,aoi_mean_s,ca_dtnet,30,speed_mean_kmh,3.7836144739330386,4.816178393175222,27.290410363606625
see_v2x,aoi_mean_s,ca_dtnet,30,vehicle_count,1.4237908064628888,1.1343573301339953,-20.328370781877254
see_v2x,aoi_mean_s,graph_gru,5,flow_proxy,11935.277791467279,12979.957772146694,8.75287529063964
see_v2x,aoi_mean_s,graph_gru,5,speed_mean_kmh,3.3826711717562485,3.577386506289694,5.756259596960031
see_v2x,aoi_mean_s,graph_gru,5,vehicle_count,0.9374434379469463,0.9320842713863369,-0.5716789180559418
see_v2x,aoi_mean_s,graph_gru,10,flow_proxy,16075.801113209562,16672.12729547325,3.7094647916072554
see_v2x,aoi_mean_s,graph_gru,10,speed_mean_kmh,3.8605761985088862,4.091980311243443,5.994030430600787
see_v2x,aoi_mean_s,graph_gru,10,vehicle_count,1.3148210365139457,1.1423055465399095,-13.120834233026283
see_v2x,aoi_mean_s,graph_gru,30,flow_proxy,16102.686706603818,14220.185948586792,-11.690600409208923
see_v2x,aoi_mean_s,graph_gru,30,speed_mean_kmh,4.206533918203687,4.957878154783251,17.861361619883816
